,rate_schedule,CARE/FERA,NEM,avg_customers_per_month
0,AL-2-F,No,No,0.0
1,D,No,No,1142632.0
2,D,No,Yes,115089.0
3,D,Yes,No,664376.0
4,D,Yes,Yes,24657.0
5,D-DL,No,No,1.0
6,D-SDP,No,No,40614.0
7,D-SDP,No,Yes,6678.0
8,D-SDP,Yes,No,31742.0
9,D-SDP,Yes,Yes,1654.0
10,D-SDP-O,No,No,2565.0
11,D-SDP-O,No,Yes,391.0
12,D-SDP-O,Yes,No,1665.0
13,D-SDP-O,Yes,Yes,82.0
14,DE,No,No,5769.0
15,DE,No,Yes,387.0
16,DE,Yes,No,37.0
17,DE,Yes,Yes,1.0
18,DE-SDP,No,No,905.0
19,DE-SDP,No,Yes,48.0
20,DE-SDP,Yes,No,6.0
21,DE-SDP-O,No,No,51.0
22,DE-SDP-O,No,Yes,1.0
23,DM,No,No,4349.0
24,DM,No,Yes,260.0
25,DM,Yes,No,3.0
26,DMS-1,No,No,250.0
27,DMS-1,No,Yes,14.0
28,DMS-2,No,No,1041.0
29,DMS-2,No,Yes,97.0
30,DMS-3,No,No,73.0
31,DMS-3,No,Yes,7.0
32,GS-1,No,No,2.0
33,GS-2,No,No,0.0
34,LS-3,No,No,2.0
35,OTHER ADJUSTMENTS,No,No,-39.0
36,TC-1,No,No,2.0
37,TOU-D-A,No,No,461.0
38,TOU-D-A,No,Yes,44413.0
39,TOU-D-A,Yes,No,545.0
40,TOU-D-A,Yes,Yes,8242.0
41,TOU-D-A-CA,No,No,0.0
42,TOU-D-A-CA,No,Yes,0.0
43,TOU-D-A-SD,No,No,0.0
44,TOU-D-A-SD,No,Yes,8.0
45,TOU-D-A-SDP,No,No,11.0
46,TOU-D-A-SDP,No,Yes,2211.0
47,TOU-D-A-SDP,Yes,No,8.0
48,TOU-D-A-SDP,Yes,Yes,552.0
49,TOU-D-A-SDP-O,No,No,0.0
50,TOU-D-A-SDP-O,No,Yes,160.0
51,TOU-D-A-SDP-O,Yes,No,2.0
52,TOU-D-A-SDP-O,Yes,Yes,30.0
53,TOU-D-B,No,No,258.0
54,TOU-D-B,No,Yes,2826.0
55,TOU-D-B,Yes,No,71.0
56,TOU-D-B,Yes,Yes,298.0
57,TOU-D-B-SD,No,No,0.0
58,TOU-D-B-SD,No,Yes,1.0
59,TOU-D-B-SDP,No,No,28.0
60,TOU-D-B-SDP,No,Yes,295.0
61,TOU-D-B-SDP,Yes,No,9.0
62,TOU-D-B-SDP,Yes,Yes,46.0
63,TOU-D-B-SDP-O,No,No,1.0
64,TOU-D-B-SDP-O,No,Yes,22.0
65,TOU-D-B-SDP-O,Yes,No,1.0
66,TOU-D-P-SDP-O,Yes,No,87.0
67,TOU-D-P-SDP-O,Yes,Yes,21.0
68,TOU-D-PRIM,No,No,165.0
69,TOU-D-PRIM,No,Yes,35.0
70,TOU-D-PRIME,No,No,83037.0
71,TOU-D-PRIME,No,Yes,27376.0
72,TOU-D-PRIME,Yes,No,13096.0
73,TOU-D-PRIME,Yes,Yes,2768.0
74,TOU-D-PRIME-S,Yes,No,1614.0
75,TOU-D-PRIME-S,Yes,Yes,248.0
76,TOU-D-PRIME-SDP,No,No,7055.0
77,TOU-D-PRIME-SDP,No,Yes,1881.0
78,TOU-D-PRIME-SDP-O,No,No,471.0
79,TOU-D-PRIME-SDP-O,No,Yes,135.0
80,TOU-D-T,No,No,46.0
81,TOU-D-T,No,Yes,1601.0
82,TOU-D-T,Yes,No,22.0
83,TOU-D-T,Yes,Yes,174.0
84,TOU-D-T-CA,No,No,0.0
85,TOU-DE-A,No,No,0.0
86,TOU-DE-A,No,Yes,129.0
87,TOU-DE-A-SDP,No,No,1.0
88,TOU-DE-A-SDP,No,Yes,13.0
89,TOU-DE-A-SDP-O,No,Yes,2.0
90,TOU-DE-B,No,No,3.0
91,TOU-DE-B,No,Yes,17.0
92,TOU-DE-B-SDP,No,No,2.0
93,TOU-DE-B-SDP,No,Yes,7.0
94,TOU-DE-B-SDP-O,No,No,1.0
95,TOU-DE-PRI,No,No,0.0
96,TOU-DE-PRIME,No,No,669.0
97,TOU-DE-PRIME,No,Yes,116.0
98,TOU-DE-PRIME,Yes,No,2.0
99,TOU-DE-PRIME-SDP,No,No,221.0
100,TOU-DE-PRIME-SDP,No,Yes,27.0
101,TOU-DE-PRIME-SDP-O,No,No,19.0
102,TOU-DE-PRIME-SDP-O,No,Yes,3.0
103,TOU-DE-T,No,Yes,4.0
104,TOU-DE-T-SDP,No,Yes,2.0
105,TOU-DE-T-SDP-O,No,Yes,1.0
106,TOU-DT-SDP,No,No,4.0
107,TOU-DT-SDP,No,Yes,136.0
108,TOU-DT-SDP,Yes,No,2.0
109,TOU-DT-SDP,Yes,Yes,25.0
110,TOU-DT-SDP-O,No,No,0.0
111,TOU-DT-SDP-O,No,Yes,9.0
112,TOU-EV-1,No,No,572.0
113,TOU-EV-1,No,Yes,19.0
114,TOU-EV-1,Yes,No,1.0
115,TOU-EV-1,Yes,Yes,1.0
116,TOU-EV-7-D,No,No,0.0
117,TOU-EV-7-E,No,No,1.0
118,TOU-EV-8,No,No,2.0
119,TOU-EV-9,No,No,0.0
120,TOU-GS-1-A,No,No,0.0
121,TOU-GS-1-A,No,Yes,0.0
122,TOU-GS-1-D,No,No,2.0
123,TOU-GS-1-D,No,Yes,0.0
124,TOU-GS-1-E,No,No,88.0
125,TOU-GS-1-E,No,Yes,5.0
126,TOU-GS-1-E,Yes,No,0.0
127,TOU-GS-1-ES,No,No,0.0
128,TOU-GS-2-B,No,Yes,0.0
129,TOU-GS-2-D,No,No,3.0
130,TOU-GS-2-D,No,Yes,1.0
131,TOU-GS-2-D,Yes,No,1.0
132,TOU-GS-2-E,No,No,3.0
133,TOU-GS-2-E,No,Yes,0.0
134,TOU-GS-3B,No,No,0.0
135,TOU-GS-3D,No,No,1.0
136,TOU-GS-3E,No,No,0.0
137,TOU-GS-3E,No,Yes,1.0
138,TOU-PA-2-A,No,No,0.0
139,TOU-PA-2-D,No,No,2.0
140,TOU-PA-2-E,No,No,1.0
141,TOU-PA-2E-5TO8,No,No,1.0
142,TOU-PA-3-E,No,Yes,0.0
143,TOUD-4-9-SD-O,Yes,No,197.0
144,TOUD-4-9-SD-O,Yes,Yes,111.0
145,TOUD-4-9PM,No,No,879972.0
146,TOUD-4-9PM,No,Yes,175771.0
147,TOUD-4-9PM,Yes,No,231022.0
148,TOUD-4-9PM,Yes,Yes,29307.0
149,TOUD-4-9PM-SD,Yes,No,3689.0
150,TOUD-4-9PM-SD,Yes,Yes,1797.0
151,TOUD-4-9PM-SDP,No,No,20906.0
152,TOUD-4-9PM-SDP,No,Yes,7268.0
153,TOUD-4-9PM-SDP-O,No,No,1173.0
154,TOUD-4-9PM-SDP-O,No,Yes,510.0
155,TOUD-5-8-SD-O,Yes,No,195.0
156,TOUD-5-8-SD-O,Yes,Yes,4.0
157,TOUD-5-8PM,No,No,670208.0
158,TOUD-5-8PM,No,Yes,14518.0
159,TOUD-5-8PM,Yes,No,204183.0
160,TOUD-5-8PM,Yes,Yes,1608.0
161,TOUD-5-8PM-SD,Yes,No,3758.0
162,TOUD-5-8PM-SD,Yes,Yes,83.0
163,TOUD-5-8PM-SDP,No,No,21809.0
164,TOUD-5-8PM-SDP,No,Yes,839.0
165,TOUD-5-8PM-SDP-O,No,No,1102.0
166,TOUD-5-8PM-SDP-O,No,Yes,54.0
167,TOUDE-4-9-SDP,Yes,No,1.0
168,TOUDE-4-9-SDP,Yes,Yes,1.0
169,TOUDE-4-9P,No,No,0.0
170,TOUDE-4-9P,No,Yes,0.0
171,TOUDE-4-9PM,No,No,2583.0
172,TOUDE-4-9PM,No,Yes,522.0
173,TOUDE-4-9PM,Yes,No,6.0
174,TOUDE-4-9PM,Yes,Yes,3.0
175,TOUDE-4-9PM-SDP,No,No,324.0
176,TOUDE-4-9PM-SDP,No,Yes,57.0
177,TOUDE-4-9PM-SDP-O,No,No,21.0
178,TOUDE-4-9PM-SDP-O,No,Yes,3.0
179,TOUDE-5-8-SDP,Yes,No,1.0
180,TOUDE-5-8P,No,No,0.0
181,TOUDE-5-8PM,No,No,2351.0
182,TOUDE-5-8PM,No,Yes,50.0
183,TOUDE-5-8PM,Yes,No,2.0
184,TOUDE-5-8PM-SDP,No,No,416.0
185,TOUDE-5-8PM-SDP,No,Yes,5.0
186,TOUDE-5-8PM-SDP-O,No,No,25.0
187,TOUDE-5-8PM-SDP-O,No,Yes,1.0
