rowid,utility_id_ferc1,utility_id_ferc1_label,utility_id_pudl,utility_id_pudl_label,utility_name_ferc1,report_year,rate_schedule_type,billing_status,rate_schedule_description,sales_mwh,dollar_value,avg_customers_per_month,kwh_per_customer,revenue_per_kwh,Conatins CARE/FERA?,record_id
269896,315,NorthWestern Corporation,226,NorthWestern Energy,NorthWestern Corporation,2022,residential,billed,SD 95 Reddy Guard,1481,228050,33,44879,0.153999999,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001789_sd_95_reddy_guard
269897,315,NorthWestern Corporation,226,NorthWestern Energy,NorthWestern Corporation,2022,residential,billed,MT Residential,2644997,327804992,316968,8345,0.123899996,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001789_mt_residential
269898,315,NorthWestern Corporation,226,NorthWestern Energy,NorthWestern Corporation,2022,residential,billed,MT Unbilled Revenue,222232,28533844,,,,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001789_mt_unbilled_revenue
269899,315,NorthWestern Corporation,226,NorthWestern Energy,NorthWestern Corporation,2022,residential,billed,,3241373,397613920,368037,8807,0.122699998,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001789_total
269900,315,NorthWestern Corporation,226,NorthWestern Energy,NorthWestern Corporation,2022,residential,billed,SD 11 Resid Space Htg 1 Meter,184885,19163874,10896,16968,0.103699997,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001789_sd_11_resid_space_htg_1_meter
269901,315,NorthWestern Corporation,226,NorthWestern Energy,NorthWestern Corporation,2022,residential,billed,SD 10 Residential,395117,49373792,39101,10105,0.125,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001789_sd_10_residential
269902,315,NorthWestern Corporation,226,NorthWestern Energy,NorthWestern Corporation,2022,residential,billed,SD 14 Resid Space Htg 2 Meters,14805,1037349,1032,14346,0.070100002,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001789_sd_14_resid_space_htg_2_meters
269903,315,NorthWestern Corporation,226,NorthWestern Energy,NorthWestern Corporation,2022,residential,billed,SD 15 Residential Dual-Fuel,88,5863,7,12571,0.066600002,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001789_sd_15_residential_dualfuel
269904,265,"Unitil Energy Systems, Inc.",336,"Unitil Energy Systems, Inc.","Unitil Energy Systems, Inc.",2022,residential,billed,,463039,118670448,67998,6810,0.256300002,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001222_total
269905,265,"Unitil Energy Systems, Inc.",336,"Unitil Energy Systems, Inc.","Unitil Energy Systems, Inc.",2022,residential,billed,#NAME?,463039,118670448,67998,6810,0.256300002,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001222__domestic
269906,265,"Unitil Energy Systems, Inc.",336,"Unitil Energy Systems, Inc.","Unitil Energy Systems, Inc.",2022,residential,billed,#NAME?,,,,,,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001222__employee
269907,264,Fitchburg Gas and Electric Light Company,119,Fitchburg Gas and Electric Light Company,Fitchburg Gas and Electric Light Company,2022,residential,billed,R2 Residential Fuel Assistance,26491,6606413,4911,5394,0.249400005,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001221_r2_residential_fuel_assistance
269908,264,Fitchburg Gas and Electric Light Company,119,Fitchburg Gas and Electric Light Company,Fitchburg Gas and Electric Light Company,2022,residential,billed,R1 Residential,89721,40602448,21171,4238,0.452499986,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001221_r1_residential
269909,264,Fitchburg Gas and Electric Light Company,119,Fitchburg Gas and Electric Light Company,Fitchburg Gas and Electric Light Company,2022,residential,billed,,116212,47208864,26082,4456,0.406199992,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001221_total
269910,258,"UNS Electric, Inc.",339,"UNS Electric, Inc","UNS Electric, Inc.",2022,residential,billed,ERRESD Peak Demand,2044,245201,168,12167,0.119999997,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001187_erresd_peak_demand
269911,258,"UNS Electric, Inc.",339,"UNS Electric, Inc","UNS Electric, Inc.",2022,residential,billed,Duplicate Residential Customers,,,-1113,,,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001187_duplicate_residential_customers
269912,258,"UNS Electric, Inc.",339,"UNS Electric, Inc","UNS Electric, Inc.",2022,residential,billed,EGLTG Lighting Servicer,648,122677,1113,582,0.189300001,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001187_egltg_lighting_servicer
269913,258,"UNS Electric, Inc.",339,"UNS Electric, Inc","UNS Electric, Inc.",2022,residential,billed,ERRESDT Demand Time-of-Use,7252,830401,565,12835,0.114500001,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001187_erresdt_demand_timeofuse
269914,258,"UNS Electric, Inc.",339,"UNS Electric, Inc","UNS Electric, Inc.",2022,residential,billed,ERRES Basic (Residential),789403,96107264,69113,11422,0.121699996,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001187_erres_basic_residential
269915,258,"UNS Electric, Inc.",339,"UNS Electric, Inc","UNS Electric, Inc.",2022,residential,billed,Residential CARES,79696,8141619,7543,10566,0.102200001,Yes,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001187_residential_cares
269916,258,"UNS Electric, Inc.",339,"UNS Electric, Inc","UNS Electric, Inc.",2022,residential,billed,ERREST Time-of-Use (Residential),146778,17260960,13016,11277,0.117600001,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001187_errest_timeofuse_residential
269917,258,"UNS Electric, Inc.",339,"UNS Electric, Inc","UNS Electric, Inc.",2022,residential,billed,,1025821,120556288,90405,11347,0.1175,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001187_total
269918,258,"UNS Electric, Inc.",339,"UNS Electric, Inc","UNS Electric, Inc.",2022,residential,billed,Less: Residential Tax Reform Refunds,,-2151834,,,,No,sales_of_electricity_by_rate_schedules_account_440_residential_304_2022_c001187_less_residential_tax_reform_refunds
